업소명, 주소, 리뷰
쉬리니케이크,제주특별자치도 제주시 애월읍 애납로 175 1층,61
소길다방,제주특별자치도 제주시 애월읍 소길2길 45-3,67
스타벅스 제주삼화DT점,제주특별자치도 제주시 연삼로 884,39
탐앤탐스 신제주점,제주특별자치도 제주시 신광로 52 1층,9
롱리브,제주특별자치도 제주시 아란3길 13-3 아라지엘지 1층 102호,47
동백정원,제주특별자치도 서귀포시 이어도로343번길 117,81
카페2472,제주특별자치도 서귀포시 천제연로 103-15 2층,99
카페동경앤책방,제주특별자치도 제주시 애월읍 하귀로 74 2층,73
픽스커피 본점,제주특별자치도 제주시 신설로11길 2 1층,41
카페폴린,제주특별자치도 서귀포시 칠십리로 194 1층,41
스위츠커피바,제주특별자치도 제주시 노형4길 25 1층,113
델문도 김녕점,제주특별자치도 제주시 구좌읍 해맞이해안로 140,210
커피맛이멜로,제주특별자치도 서귀포시 안덕면 신화역사로 752,9
니나수족욕카페,제주특별자치도 서귀포시 안덕면 대평로 29 바산올레펜션 3층,34
허니문하우스,제주특별자치도 서귀포시 칠십리로 228-13,478
먹쿠슬낭여행자카페,제주특별자치도 제주시 오라로 24,98
카페뮤로,제주특별자치도 제주시 제원3길 13 1층 102호,80
숑,제주특별자치도 서귀포시 남원읍 공천포로 91,17
소보리당로222,제주특별자치도 서귀포시 소보리당로 222,94
브런치카페 데미다,제주특별자치도 제주시 연북로 707 영동빌딩 1, 2층,32
너븐,제주특별자치도 서귀포시 칠십리로214번길 26,174
망고홀릭 애월해안도로점,제주특별자치도 제주시 애월읍 애월해안로 298 A동 1층,31
볼스카페,제주특별자치도 서귀포시 일주서로 626 1층,168
스타벅스 제주신화월드R점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층 29호,93
목장카페 밭디,제주특별자치도 서귀포시 표선면 번영로 2486 목장카페 밭디,157
스타벅스 서귀포올레점,제주특별자치도 서귀포시 중정로 69 동명백화점,41
어니스트밀크 성산점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 리치유클래시아 상가 1층 19호,46
점점,제주특별자치도 제주시 조천읍 신촌북3길 39-3 1층,162
카페훤,제주특별자치도 제주시 한림읍 협재1길 8 1,2층,57
오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-102 2층,93
카페오드리,제주특별자치도 제주시 한림읍 한창로 1294,24
제주몹시,제주특별자치도 제주시 월대1길 10 1층,87
어반정글그레이밤부,제주특별자치도 제주시 조천읍 일주동로 1611 1층,120
카페어떤오후,제주특별자치도 제주시 애월읍 상가북6길 13 1층,24
거인의정원,제주특별자치도 제주시 대원길 58,11
아라파파 북촌점,제주특별자치도 제주시 조천읍 북촌15길 60,93
에이바우트커피 베라체점,제주특별자치도 제주시 승천로 76 1층,5
속솜,제주특별자치도 제주시 구좌읍 해맞이해안로 1655 1,2층,123
애월후식,제주특별자치도 제주시 애월읍 납읍로 21 1층,44
살롱드라방,제주특별자치도 제주시 애월읍 하가로 146-9 1층,10
리치망고 애월본점,제주특별자치도 제주시 애월읍 애월해안로 272,190
카페빠네띠에,제주특별자치도 제주시 신설로9길 25 1층 카페빠네띠에,33
카페갤러리,제주특별자치도 제주시 조천읍 남조로 1717-24,62
카페살레,제주특별자치도 제주시 우도면 우도해안길 816 1,2층,170
유스커피,제주특별자치도 제주시 구산로 54,18
테라도스,제주특별자치도 제주시 애월읍 애상로 207-2 1층 1호,392
제주 함덕 카페 라라떼커피,제주특별자치도 제주시 조천읍 신북로 494 1층,77
배롱정원,제주특별자치도 제주시 한림읍 협재4길 19,107
카페치즈태비,제주특별자치도 제주시 구좌읍 행원로7길 18-9,154
비케이브,제주특별자치도 제주시 조천읍 동백로 122 1층,146
스타벅스 제주에듀시티점,제주특별자치도 서귀포시 대정읍 에듀시티로 36,9
꽃향유,제주특별자치도 제주시 애월읍 고하상로 101,108
슬로보트 아뜰리에,제주특별자치도 제주시 애월읍 하귀2길 46-16,27
리유니온,제주특별자치도 제주시 신성로13길 32 1층,44
미미슈,제주특별자치도 제주시 애월읍 중산간서로 5534,144
폴바셋 제주용담DT점,제주특별자치도 제주시 서해안로 442-1,64
장인더카페 제주점,제주특별자치도 제주시 구좌읍 구좌해안로 140,91
카페코지,제주특별자치도 서귀포시 성산읍 한도로 200,27
도을,제주특별자치도 제주시 조천읍 와흘리 125,31
에이바우트커피 시청점,제주특별자치도 제주시 광양13길 1,7
간세다리족욕카페,제주특별자치도 서귀포시 중정로 17-1 2층,11
고미미,제주특별자치도 제주시 북성로 67 1층,67
에이바우트커피 삼화점,제주특별자치도 제주시 동화로 56 1층,7
네꼬야티하우스,제주특별자치도 제주시 애월읍 하귀9길 15 1층,63
그럼외도,제주특별자치도 제주시 월대3길 16,254
섶섬할망카페,제주특별자치도 서귀포시 보목로64번길 11,40
카페루핀,제주특별자치도 서귀포시 대정읍 형제해안로 272 1층,19
피플카페,제주특별자치도 제주시 조천읍 신촌북3길 58,55
게우지코지인갤러리 커피하우스,제주특별자치도 서귀포시 보목포로 179,9
토끼문,제주특별자치도 제주시 구좌읍 해맞이해안로 456 1~3층,175
엘리사,제주특별자치도 제주시 애월읍 가문동상2길 28 1층,71
바이러닉 에스프레소바 제주도점,제주특별자치도 제주시 테우해안로 96 1층,127
관심사,제주특별자치도 제주시 중앙로 77 지하1층,65
스타벅스 제주노형DT점,제주특별자치도 제주시 월랑로 68,5
안녕육지사람,제주특별자치도 제주시 우도면 우도해안길 792,200
카페청굴물,제주특별자치도 제주시 구좌읍 김녕로1길 75-1 1층,44
솔트스톤,제주특별자치도 제주시 연삼로 495,14
모헨,제주특별자치도 서귀포시 이어도로 973,62
소이재,제주특별자치도 제주시 다랑곶3길 20 1층,56
몽그레 월정리점,제주특별자치도 제주시 구좌읍 해맞이해안로 400,350
헬로남생이,제주특별자치도 제주시 조천읍 원당북로 197-20 1층,35
도바나,제주특별자치도 서귀포시 남원읍 태위로 177,31
60빈스,제주특별자치도 서귀포시 태평로120번길 29-2,32
카페더씨,제주특별자치도 서귀포시 성산읍 해맞이해안로 2601-11,48
바미아일랜드,제주특별자치도 제주시 구좌읍 해맞이해안로 474-1 1층,57
스타벅스 제주일도DT점,제주특별자치도 제주시 동광로 130,25
코데인커피로스터스,제주특별자치도 서귀포시 안덕면 사계북로 76,35
카페마니,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,66
이스틀리,제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1 미래동 2층,38
오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-102 2층,93
카페오드리,제주특별자치도 제주시 한림읍 한창로 1294,24
제주몹시,제주특별자치도 제주시 월대1길 10 1층,87
어반정글그레이밤부,제주특별자치도 제주시 조천읍 일주동로 1611 1층,120
카페어떤오후,제주특별자치도 제주시 애월읍 상가북6길 13 1층,24
거인의정원,제주특별자치도 제주시 대원길 58,11
아라파파 북촌점,제주특별자치도 제주시 조천읍 북촌15길 60,93
에이바우트커피 베라체점,제주특별자치도 제주시 승천로 76 1층,5
속솜,제주특별자치도 제주시 구좌읍 해맞이해안로 1655 1,2층,123
애월후식,제주특별자치도 제주시 애월읍 납읍로 21 1층,44
살롱드라방,제주특별자치도 제주시 애월읍 하가로 146-9 1층,10
리치망고 애월본점,제주특별자치도 제주시 애월읍 애월해안로 272,190
카페빠네띠에,제주특별자치도 제주시 신설로9길 25 1층 카페빠네띠에,33
카페갤러리,제주특별자치도 제주시 조천읍 남조로 1717-24,62
카페살레,제주특별자치도 제주시 우도면 우도해안길 816 1,2층,170
공생,제주특별자치도 제주시 천수동로2길 23 1층,32
카페소금,제주특별자치도 제주시 애월읍 구엄길 96,36
로봇스퀘어&카페그디글라,제주특별자치도 제주시 구좌읍 해맞이해안로 1032 1층,10
하우스레서피 당근케이크,제주특별자치도 제주시 한림읍 일주서로 5892,3
위이,제주특별자치도 서귀포시 안덕면 신화역사로682번길 12,95
비양놀,제주특별자치도 제주시 한림읍 한림해안로 311,208
단정한까페,제주특별자치도 제주시 서광로28길 54 2층,55
에오마르,제주특별자치도 제주시 선사로8길 13-6,240
히아담,제주특별자치도 제주시 과원로 28 1층,23
88로스터즈,제주특별자치도 제주시 금산5길 35-1 1층,25
로스트&헤븐,제주특별자치도 제주시 테우해안로 162 1층,69
카페 제주동네,제주특별자치도 제주시 구좌읍 종달로5길 23,24
홉히워크룸,제주특별자치도 서귀포시 이어도로 882,159
우연히그곳,제주특별자치도 제주시 구좌읍 중산간동로 2250 1층,69
김녕에사는김영훈,제주특별자치도 제주시 구좌읍 김녕로6길 2 1층,72
픽스커피 화북공단점,제주특별자치도 제주시 청풍남8길 55 1층,65
인터포레스트,제주특별자치도 제주시 구좌읍 비자림로 1655 인터포레스트빌딩 1,2층,92
간이옥돔역 (휴업중),제주특별자치도 서귀포시 남원읍 남태해안로 484,16
브릭커피,제주특별자치도 제주시 정존1길 21,29
제이아일랜드카페,제주특별자치도 서귀포시 성산읍 환해장성로 69 1층,22
플레이커피랩,제주특별자치도 서귀포시 서문로28번길 2 1층,50
그루브,제주특별자치도 제주시 한림읍 한림로 333 1~3층,173
너는파라다이스길리,제주특별자치도 제주시 구좌읍 월정1길 65,60
브라보비치,제주특별자치도 서귀포시 성산읍 해맞이해안로 2614 1,2층,227
콜린 제주,제주특별자치도 제주시 애월읍 애월로1길 24-8,133
미깡창고,제주특별자치도 제주시 애월읍 중산간서로 6710-1,78
자드부팡,제주특별자치도 제주시 조천읍 북흘로 385-216 1동 1층,104
에이바우트커피 삼무공원점,제주특별자치도 제주시 신광로 20,17
레몬뮤지엄,제주특별자치도 서귀포시 남원읍 하례로620번길 41,37
수카사,제주특별자치도 제주시 구좌읍 행원로9길 11,67
딸기가좋아 제주점,제주특별자치도 제주시 과원로 84,21
밀팟제주,제주특별자치도 제주시 원남6길 58 1층,13
제주소담,제주특별자치도 서귀포시 막숙포로 150 2층,21
카페파람,제주특별자치도 제주시 한경면 한경해안로 470,24
카페사우다드,제주특별자치도 서귀포시 대정읍 하모이삼로51번길 28,10
망고홀릭 법환점,제주특별자치도 서귀포시 막숙포로 83 1층,5
탐앤탐스 제주시청점,제주특별자치도 제주시 중앙로 236 문산빌딩 1층,5
카페정관헌,제주특별자치도 제주시 박성내서길 6 1층,35
카페쌀쌀,제주특별자치도 제주시 애월읍 신엄로 51,115
돈테일러익스프레스,제주특별자치도 제주시 신성로 19,13
제대가는길,제주특별자치도 제주시 제주대학로 75-1,25
베터플랫,제주특별자치도 제주시 탑동해안로 74 1층,48
효은양갱,제주특별자치도 서귀포시 안덕면 덕수회관로 14,29
카페책자국,제주특별자치도 제주시 구좌읍 종달로1길 117,61
레이지박스,제주특별자치도 서귀포시 안덕면 산방로 208,15
폴바셋 제주아라DT점,제주특별자치도 제주시 중앙로 393,103
카페뚜이,제주특별자치도 제주시 한림읍 협재1길 45 1층,59
콜로세움카페,제주특별자치도 제주시 민오름길 14,62
알맞은시간,제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길 2-2,75
오후다섯시 두가지착각 조차도,제주특별자치도 제주시 조천읍 조함해안로 273-37 오후다섯시, 두가지착각, 조차도,168
다카포카페,제주특별자치도 서귀포시 표선면 표선백사로110번길 6 1, 2층,28
카페갤럭시아,제주특별자치도 서귀포시 안덕면 사계남로216번길 29 카페갤럭시아,332
올디너리,제주특별자치도 제주시 서광로28길 21-1,32
플라이오조,제주특별자치도 서귀포시 성산읍 오조로85번길 44,39
어글리딜리셔스,제주특별자치도 제주시 구남동2길 19-8,65
가파도봄날에,제주특별자치도 서귀포시 대정읍 가파로67번길 47-2,7
난산리다방,제주특별자치도 서귀포시 성산읍 난산로41번길 39-2,10
올디벗구디,제주특별자치도 서귀포시 일주서로 330,107
카페지니,제주특별자치도 서귀포시 남원읍 공천포로11번길 19,32
컴컴제주,제주특별자치도 제주시 한림읍 한림로 470 1,2층,84
공생,제주특별자치도 제주시 천수동로2길 23 1층,32
카페소금,제주특별자치도 제주시 애월읍 구엄길 96,36
로봇스퀘어&카페그디글라,제주특별자치도 제주시 구좌읍 해맞이해안로 1032 1층,10
하우스레서피 당근케이크,제주특별자치도 제주시 한림읍 일주서로 5892,3
위이,제주특별자치도 서귀포시 안덕면 신화역사로682번길 12,95
비양놀,제주특별자치도 제주시 한림읍 한림해안로 311,208
단정한까페,제주특별자치도 제주시 서광로28길 54 2층,55
에오마르,제주특별자치도 제주시 선사로8길 13-6,240
히아담,제주특별자치도 제주시 과원로 28 1층,23
88로스터즈,제주특별자치도 제주시 금산5길 35-1 1층,25
로스트&헤븐,제주특별자치도 제주시 테우해안로 162 1층,69
카페 제주동네,제주특별자치도 제주시 구좌읍 종달로5길 23,24
홉히워크룸,제주특별자치도 서귀포시 이어도로 882,159
우연히그곳,제주특별자치도 제주시 구좌읍 중산간동로 2250 1층,69
김녕에사는김영훈,제주특별자치도 제주시 구좌읍 김녕로6길 2 1층,72
도리화과,제주특별자치도 제주시 아연로 194 1층,34
에이바우트커피 정부종합청사점,제주특별자치도 제주시 청사로 79 1층,1
오르바,제주특별자치도 서귀포시 보목포로 78,124
그리트커피,제주특별자치도 제주시 인다6길 57,56
보라지붕,제주특별자치도 제주시 조천읍 함덕19길 6,159
토토네,제주특별자치도 제주시 애월읍 하귀10길 49-2 수지빌 1층 102호,53
왓섬,제주특별자치도 제주시 오등4길 3,26
망고레이 천지연폭포점,제주특별자치도 서귀포시 남성중로 2-3,23
초가헌,제주특별자치도 서귀포시 표선면 중산간동로 4628,32
안녕토르,제주특별자치도 제주시 조천읍 선진길 7-19 1층,47
미리로,제주특별자치도 제주시 테우해안로 136 2층,32
페이보리오리,제주특별자치도 서귀포시 효돈순환로 252,83
에이바우트커피 외도점,제주특별자치도 제주시 우정로 24 1층,4
아뽀밍고,제주특별자치도 서귀포시 성산읍 일출로 230,258
화수목,제주특별자치도 제주시 구좌읍 해맞이해안로 1028 1층,11
투썸플레이스 제주이도점,제주특별자치도 제주시 중앙로 286 1층,4
나비정원,제주특별자치도 서귀포시 대정읍 신영로 60-7,23
커피냅로스터스 제주,제주특별자치도 제주시 애월읍 하귀2길 45 1층,179
채색,제주특별자치도 제주시 구남동2길 15-4,34
멜버즈,제주특별자치도 제주시 한라대학로 114 골든스퀘어 1층,89
커피가게쉬고가게,제주특별자치도 서귀포시 표선면 민속해안로 593 커피가게쉬고가게,23
카페쏘해피,제주특별자치도 제주시 서광로13길 32 1층,6
커핏,제주특별자치도 서귀포시 칠십리로658번길 27-13,21
카페단단,제주특별자치도 제주시 관덕로4길 1-6,52
에이바우트커피 인제점,제주특별자치도 제주시 고마로 107,5
공설,제주특별자치도 제주시 공설로 15 1층,65
바람,제주특별자치도 제주시 516로 3041-15,14
시옽,제주특별자치도 서귀포시 동홍서로96번길 6 1층,18
카페을리,제주특별자치도 서귀포시 안덕면 병악로 90,107
오로라공주,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 252-11,31
산노루,제주특별자치도 제주시 한경면 낙원로 32,221
고도,제주특별자치도 제주시 어영길 15 1층,108
컴플리트커피 노형점,제주특별자치도 제주시 노형6길 21,37
꼬라지오,제주특별자치도 서귀포시 일주동로 8777,57
위즈커피,제주특별자치도 제주시 우령2길 19-5 1층,47
