곤을커피, 카페, 제주특별자치도 제주시 곤을서길 7, None, None
빈커피앤와인모어, 카페, 제주특별자치도 제주시 일주동로 188, 0, 5.0
알록, 카페, 제주특별자치도 제주시 일주동로 183, 2, 5.0
허브로틴원, 카페, 제주특별자치도 제주시 일주동로 183, 0, 5.0
무우수 홀리데이, 카페, 제주특별자치도 제주시 진남로 36, 17, 5.0
귀리공장, 카페, 제주특별자치도 제주시 진남로10길 44, 0, 0.0
일공오이, 카페, 제주특별자치도 제주시 진남로6길 23, 0, 3.5
수상한언니들, 카페, 제주특별자치도 제주시 진남로6길 20, 0, 0.0
은정다육공방카페, 카페, 제주특별자치도 제주시 진동로3길 11, 0, 0.0
애랑과배비장카페, 카페, 제주특별자치도 제주시 화북일동 4372, 0, 0.0
이디야커피 제주화북점, 카페, 제주특별자치도 제주시 동화로 12, 1, 3.7
베이킹카페, 카페, 제주특별자치도 제주시 화삼로 9, 0, 5.0
프레페레, 카페, 제주특별자치도 제주시 청풍남8길 25-4, 0, 0.0
폴업커피, 카페, 제주특별자치도 제주시 청풍남8길 25-4, 0, 0.0
에이바우트커피 화북남문점, 카페, 제주특별자치도 제주시 진서로 1, None, None
컴포즈커피 화북공단점, 카페, 제주특별자치도 제주시 화남로 65, None, None
빽다방 제주화북남문점, 카페, 제주특별자치도 제주시 일주동로 185, None, None
88로스터즈, 카페, 제주특별자치도 제주시 금산5길 35-1, None, None
머스크, 카페, 제주특별자치도 제주시 진동로3길 30, None, None
맥키쉬, 카페, 제주특별자치도 제주시 진남로 51-1, None, None
피카커피, 카페, 제주특별자치도 제주시 진동로5길 9, None, None
카페봄봄 화북점, 카페, 제주특별자치도 제주시 진동로 55, None, None
제주몽떼, 카페, 제주특별자치도 제주시 진남로10길 27, None, None
소양글멋그리기, 카페, 제주특별자치도 제주시 진남로6길 44, None, None
에이바우트커피 삼화점, 카페, 제주특별자치도 제주시 동화로 56, None, None
픽스커피 화북공단점, 카페, 제주특별자치도 제주시 청풍남8길 55, None, None
윌리코키, 카페, 제주특별자치도 제주시 일주동로 233, None, None
블러썸, 카페, 제주특별자치도 제주시 동화로 12-13, None, None
화북성당, 성당, 제주특별자치도 제주시 청풍남8길 14, 0, 0.0
제주아름다운교회, 교회, 제주특별자치도 제주시 연삼로 714, 0, 0.0
화북소망교회, 교회, 제주특별자치도 제주시 일주동로 179, 0, 0.0
늘사랑교회, 교회, 제주특별자치도 제주시 일주동로 197, 0, 0.0
제주교회, 교회, 제주특별자치도 제주시 거로남10길 42-5, 0, 0.0
제주화북교회, 교회, 제주특별자치도 제주시 진남로6길 31, 1, 5.0
제주은총교회, 교회, 제주특별자치도 제주시 진남로2길 32, 0, 0.0
화북서광교회, 교회, 제주특별자치도 제주시 진남로8길 21, 0, 0.0
함께하는교회, 교회, 제주특별자치도 제주시 진동로5길 45, 0, 0.0
늘사랑교회, 교회, 제주특별자치도 제주시 진동로5길 30, 0, 0.0
제주중앙 그리스도의교회, 교회, 제주특별자치도 제주시 진동로 12, 0, 0.0
제주그린교회, 교회, 제주특별자치도 제주시 일주동로 250, 0, 0.0
갤러리 하샤마임, 문화시설, 제주특별자치도 제주시 청풍남8길 12-2, 0, 0.0
맬록게스트하우스, 게스트하우스, 제주특별자치도 제주시 진서로 58-3, 0, 4.5
우리하우스, 게스트하우스, 제주특별자치도 제주시 별도봉길 7, None, None
쉐어하우스살레, 게스트하우스, 제주특별자치도 제주시 일주동로 255, None, None
편안한마취통증의학과의원, 병원, 제주특별자치도 제주시 일주동로 199, 0, 4.0
보스톤치과, 병원, 제주특별자치도 제주시 일주동로 227, 0, 4.0
제주필의원, 병원, 제주특별자치도 제주시 일주동로 229, 0, 2.0
이중철치과의원, 병원, 제주특별자치도 제주시 일주동로 179, 0, 5.0
제일한의원, 병원, 제주특별자치도 제주시 진남로6길 6, 0, 0.0
건강369의원, 병원, 제주특별자치도 제주시 일주동로 227, 0, 0.0
청아치과의원, 병원, 제주특별자치도 제주시 일주동로 189, 0, 3.0
더맑은이비인후과의원, 병원, 제주특별자치도 제주시 동화로 28, 0, 4.0
화북성모안과의원, 병원, 제주특별자치도 제주시 일주동로 250, 0, 4.0
꿀의원, 병원, 제주특별자치도 제주시 동화로 28, 0, 3.0
문성철정형외과의원, 병원, 제주특별자치도 제주시 일주동로 241, 0, 4.0
경희미르애한의원, 병원, 제주특별자치도 제주시 동화로 10, 1, 5.0
VIP치과의원, 병원, 제주특별자치도 제주시 일주동로 246, 0, 5.0
경희요한한의원, 병원, 제주특별자치도 제주시 동화로 3, 0, 3.0
화북용한의원, 병원, 제주특별자치도 제주시 일주동로 260, 0, 5.0
365경희부부한의원 화북점, 병원, 제주특별자치도 제주시 일주동로 187, None, None
박봉철내과의원, 병원, 제주특별자치도 제주시 일주동로 197, None, None
연세가정의학과의원, 병원, 제주특별자치도 제주시 일주동로 179, None, None
동그라미한의원, 병원, 제주특별자치도 제주시 일주동로 229, None, None
제주아이치과의원, 병원, 제주특별자치도 제주시 동화로 50, None, None
명인플러스의원, 병원, 제주특별자치도 제주시 동화로 30, None, None
누가제통마취통증의학과의원, 병원, 제주특별자치도 제주시 청풍남8길 73, None, None
이치과의원, 병원, 제주특별자치도 제주시 동화로 28, None, None
김원플란트치과의원, 병원, 제주특별자치도 제주시 화삼로 11, None, None
강윤종소아청소년과의원, 병원, 제주특별자치도 제주시 일주동로 255, None, None
청풍작은도서관, 도서관, 제주특별자치도 제주시 청풍길 13, 1, 0.0
삼화2차부영새마을작은도서관, 도서관, 제주특별자치도 제주시 화삼로 12, 0, 0.0
화북1단지새마을작은도서관, 도서관, 제주특별자치도 제주시 동화로1길 11, 0, 0.0
열린새마을작은도서관, 도서관, 제주특별자치도 제주시 동화로1길 10, None, None
월마켓, 대형마트, 제주특별자치도 제주시 일주동로 233, 0, 3.2
애랑과배비장의집, 펜션, 제주특별자치도 제주시 곤을길 46, 1, 3.0
푸른달, 숙박, 제주특별자치도 제주시 진북길 13, 6, 5.0
푸른달, 숙박, 제주특별자치도 제주시 진북길 13, 6, 5.0
푸른달, 숙박, 제주특별자치도 제주시 진북길 13, 6, 5.0
고창댁풍천장어갈비, 음식점, 제주특별자치도 제주시 동제원길 42, 8, 3.8
대독장 화북점, 음식점, 제주특별자치도 제주시 일주동로 87, 7, 2.6
제주시듬삭헌국밥집, 음식점, 제주특별자치도 제주시 동제원길 18, 4, 5.0
별도봉오리사냥, 음식점, 제주특별자치도 제주시 별도봉길 7, 1, 5.0
용가리네와플씨, 음식점, 제주특별자치도 제주시 일주동로 103, 0, 0.0
오현구내매점, 음식점, 제주특별자치도 제주시 일주동로 101, 0, 0.0
다맛국수, 음식점, 제주특별자치도 제주시 화남로 47, 2, 5.0
윤가네뼈다귀해장국, 음식점, 제주특별자치도 제주시 화남로 53, 3, 5.0
금성해장국 황금닭갈비, 음식점, 제주특별자치도 제주시 화남로 62, 0, 0.0
공단반점, 음식점, 제주특별자치도 제주시 화남로 62, 1, 4.0
다올밥상, 음식점, 제주특별자치도 제주시 선반로6길 21, 0, 0.0
순이네밥집, 음식점, 제주특별자치도 제주시 선반로 46, 0, 0.0
춘풍설렁탕 화북공업점, 음식점, 제주특별자치도 제주시 화남로 47, 0, 0.0
소선우식당, 음식점, 제주특별자치도 제주시 선반남2길 25, 1, 5.0
먹고보자식당, 음식점, 제주특별자치도 제주시 선반로 40, 2, 5.0
바당각재기, 음식점, 제주특별자치도 제주시 선반로6길 21, 0, 0.0
현아식당, 음식점, 제주특별자치도 제주시 화남로 37, 0, 0.0
삼시세끼, 음식점, 제주특별자치도 제주시 선반남1길 72, 1, 5.0
언니네집, 음식점, 제주특별자치도 제주시 선반남1길 72, 0, 0.0
빵을굽는사람들 제주본점, 음식점, 제주특별자치도 제주시 연삼로 776, 0, 0.0
호남정식, 음식점, 제주특별자치도 제주시 선반로 29, 1, 1.0
신시골뚝배기, 음식점, 제주특별자치도 제주시 선반로 19, 0, 0.0
맛나하우스, 음식점, 제주특별자치도 제주시 화남로 22, 0, 0.0
족발삼형제, 음식점, 제주특별자치도 제주시 진서로 4, 0, 0.0
산방식당 화북점, 음식점, 제주특별자치도 제주시 선반로 67, 18, 4.3
24시뼈다귀탕 삼화점, 음식점, 제주특별자치도 제주시 일주동로 222, 1, 5.0
어울림회센타, 음식점, 제주특별자치도 제주시 진동로1길 11, 5, 5.0
던킨 제주화북점, 음식점, 제주특별자치도 제주시 진남로6길 4, 4, 3.8
굽네치킨 화북삼양점, 음식점, 제주특별자치도 제주시 진동로1길 13, 3, 4.7
이디가카, 음식점, 제주특별자치도 제주시 진남로6길 14, 3, 4.0
제주올레떡집, 음식점, 제주특별자치도 제주시 일주동로 189, 3, 4.7
네네치킨 화북삼양점, 음식점, 제주특별자치도 제주시 진남로6길 9, 3, 5.0
불을품은닭 본점, 음식점, 제주특별자치도 제주시 진남로6길 2, 1, 5.0
젬마손, 음식점, 제주특별자치도 제주시 진동로 3, 7, 4.6
대부식당, 음식점, 제주특별자치도 제주시 선반로 83, 2, 4.5
항아리숯불닭족발바베큐, 음식점, 제주특별자치도 제주시 진남로6길 10, 1, 1.0
이찌마라, 음식점, 제주특별자치도 제주시 진남로6길 3, 4, 5.0
화북옛통치킨, 음식점, 제주특별자치도 제주시 진남로6길 12, 1, 5.0
빵굽는작은마을, 음식점, 제주특별자치도 제주시 진동로1길 13, 5, 4.6
프라이드프라이드, 음식점, 제주특별자치도 제주시 진남로6길 11, 2, 4.5
떡꼬치전문점, 음식점, 제주특별자치도 제주시 진남로6길 8, 3, 3.7
단지식당, 음식점, 제주특별자치도 제주시 선반로 78, 0, 0.0
상구비어 화복남문점, 음식점, 제주특별자치도 제주시 진남로6길 9, 0, 0.0
그냥술집, 음식점, 제주특별자치도 제주시 진동로1길 13, 0, 0.0
돈짬 화북점, 음식점, 제주특별자치도 제주시 진남로4길 1, 2, 4.5
석정삼계탕, 음식점, 제주특별자치도 제주시 진서로 33-3, 8, 5.0
귀동이네, 음식점, 제주특별자치도 제주시 진동로5길 3, 1, 5.0
올레맛집, 음식점, 제주특별자치도 제주시 진남로 21, 0, 0.0
요맛 화북점, 음식점, 제주특별자치도 제주시 진남로 21-37, 0, 0.0
착한튀김, 음식점, 제주특별자치도 제주시 진남로6길 20, 34, 4.3
이순애 소문난순대국밥 본점, 음식점, 제주특별자치도 제주시 진남로6길 36, 12, 3.8
신춘반점, 음식점, 제주특별자치도 제주시 진동로5길 30, 4, 3.8
행복맛집, 음식점, 제주특별자치도 제주시 진남로6길 32, 10, 4.1
순덕이네왕갈비, 음식점, 제주특별자치도 제주시 진남로10길 34, 1, 5.0
서도가든, 음식점, 제주특별자치도 제주시 청풍길 4, 3, 5.0
써니왕갈비탕, 음식점, 제주특별자치도 제주시 진남로8길 17-1, 1, 3.0
주먹밥이야기, 음식점, 제주특별자치도 제주시 진동로3길 23, 6, 5.0
화북송가네감자탕, 음식점, 제주특별자치도 제주시 진동로3길 25, 4, 4.8
돈만땅, 음식점, 제주특별자치도 제주시 진동로5길 20, 1, 5.0
어우렁더우렁, 음식점, 제주특별자치도 제주시 진동로5길 40, 1, 4.0
억수식당, 음식점, 제주특별자치도 제주시 진남로8길 25, 2, 1.5
내가찾은맛고을, 음식점, 제주특별자치도 제주시 진남로8길 39, 1, 5.0
호봉토스트 화북점, 음식점, 제주특별자치도 제주시 진동로3길 24, 0, 0.0
버거랩, 음식점, 제주특별자치도 제주시 진남로6길 22-4, 1, 5.0
부가네얼큰이 화북점, 음식점, 제주특별자치도 제주시 진동로5길 20, 0, 0.0
푸른바당돼지, 음식점, 제주특별자치도 제주시 진동로5길 28, 5, 5.0
화북시장내남문족발, 음식점, 제주특별자치도 제주시 진동로5길 31, 0, 0.0
화북코끼리식당, 음식점, 제주특별자치도 제주시 진동로5길 34, 0, 0.0
투다리 한라점, 음식점, 제주특별자치도 제주시 진남로6길 26, 1, 1.0
복자네국수, 음식점, 제주특별자치도 제주시 진동로3길 34, 0, 0.0
통큰왕만두 화북점, 음식점, 제주특별자치도 제주시 진동로5길 18-8, 2, 4.5
남문흑돼지두루치기, 음식점, 제주특별자치도 제주시 진남로6길 36, 0, 0.0
순대일번지, 음식점, 제주특별자치도 제주시 진남로8길 23, 1, 1.0
더막스, 음식점, 제주특별자치도 제주시 진동로5길 34, 0, 0.0
내일로가는마차, 음식점, 제주특별자치도 제주시 진남로6길 40, 0, 0.0
오삼순대, 음식점, 제주특별자치도 제주시 진동로5길 31, 0, 0.0
뱃사공, 음식점, 제주특별자치도 제주시 진동로 36, 4, 4.0
작심삼일, 음식점, 제주특별자치도 제주시 진동로3길 40-1, 0, 0.0
김여사식당, 음식점, 제주특별자치도 제주시 진동로 13, 0, 0.0
숙이네집밥, 음식점, 제주특별자치도 제주시 진동로5길 45, 2, 5.0
도큐하우스 화북점, 음식점, 제주특별자치도 제주시 진동로 27-1, 0, 0.0
올레길맛집, 음식점, 제주특별자치도 제주시 금산5길 9, 3, 2.3
삼공주회센터, 음식점, 제주특별자치도 제주시 진동로 74-6, 7, 4.3
벨뤼에, 음식점, 제주특별자치도 제주시 진동로 72, 6, 5.0
꼬신김밥, 음식점, 제주특별자치도 제주시 화삼로 7, 16, 4.3
조마루 삼화지구점, 음식점, 제주특별자치도 제주시 동화로 66, 4, 4.0
삼화올레국수, 음식점, 제주특별자치도 제주시 화삼로 9, 11, 5.0
한솥도시락 제주화북점, 음식점, 제주특별자치도 제주시 화삼로 9, 8, 3.9
얼큰시원콩나물국밥, 음식점, 제주특별자치도 제주시 동화로 74, 1, 5.0
60계 제주삼화지구점, 음식점, 제주특별자치도 제주시 화삼로 11, 9, 4.1
남다른대구막창 삼화점, 음식점, 제주특별자치도 제주시 화삼로 11, 4, 3.8
명품갈비하우스, 음식점, 제주특별자치도 제주시 동화로 72-2, 5, 2.0
화북떡집, 음식점, 제주특별자치도 제주시 화삼로1길 5, 0, 0.0
오박이뷔페, 음식점, 제주특별자치도 제주시 동화로 62, 1, 5.0
불돈탄, 음식점, 제주특별자치도 제주시 청풍남8길 73, 0, 0.0
삼춘네정육식당, 음식점, 제주특별자치도 제주시 화삼로1길 15, 0, 0.0
삼화돈사촌, 음식점, 제주특별자치도 제주시 청풍남8길 73, 0, 0.0
보말과비바리, 음식점, 제주특별자치도 제주시 화삼북로 7, 47, 4.0
삼다향, 음식점, 제주특별자치도 제주시 일주동로 242, 6, 3.5
국수사랑, 음식점, 제주특별자치도 제주시 일주동로 236, 39, 4.2
김명자굴국밥 화북점, 음식점, 제주특별자치도 제주시 동화로 32, 0, 0.0
광동 도남오거리식당, 음식점, 제주특별자치도 제주시 동화로 3, 4, 2.8
메종드베니, 음식점, 제주특별자치도 제주시 동화로 28, 6, 4.3
또똣, 음식점, 제주특별자치도 제주시 동화로 12-2, 27, 4.7
BHC치킨 제주화북점, 음식점, 제주특별자치도 제주시 동화로1길 9, 1, 5.0
삼화옛날통닭, 음식점, 제주특별자치도 제주시 화삼북로 7, 2, 5.0
우쿠야 제주화북점, 음식점, 제주특별자치도 제주시 일주동로 250, 2, 5.0
화북조림, 음식점, 제주특별자치도 제주시 동화로 7, 0, 0.0
멕시카나치킨 화북점, 음식점, 제주특별자치도 제주시 동화로 3, 2, 5.0
참탕수육전문점, 음식점, 제주특별자치도 제주시 일주동로 254, 0, 0.0
낭만상사, 음식점, 제주특별자치도 제주시 동화로 7, 0, 0.0
회포, 음식점, 제주특별자치도 제주시 동화로 7, 0, 0.0
한짓골, 음식점, 제주특별자치도 제주시 동화로 30, 0, 0.0
재이컴퍼니, 음식점, 제주특별자치도 제주시 동화로1길 9, 0, 0.0
오병장 삼양점, 음식점, 제주특별자치도 제주시 벌랑길 8, 39, 4.1
고향숯불막창 삼화점, 음식점, 제주특별자치도 제주시 일주동로 281, 5, 4.6
한촌설렁탕 제주삼화점, 음식점, 제주특별자치도 제주시 일주동로 285, 6, 3.7
남문숯불바베큐&치킨 삼화점, 음식점, 제주특별자치도 제주시 일주동로 260, 1, 5.0
나성갈비, 음식점, 제주특별자치도 제주시 일주동로 260, 1, 5.0
푸짐한돼지국밥, 음식점, 제주특별자치도 제주시 일주동로 263, 2, 5.0
새마루, 음식점, 제주특별자치도 제주시 벌랑서길 59, 0, 0.0
거로집, 음식점, 제주특별자치도 제주시 일주동로 100-1, None, None
목마가든, 음식점, 제주특별자치도 제주시 곤을길 23, None, None
포옥, 음식점, 제주특별자치도 제주시 화남로 47, None, None
피자알볼로 화북점, 음식점, 제주특별자치도 제주시 일주동로 180, None, None
옐로옐로, 음식점, 제주특별자치도 제주시 진남로6길 3, None, None
오태식해바라기치킨 화북삼양점, 음식점, 제주특별자치도 제주시 진남로6길 4, None, None
맘스터치 제주화북남문점, 음식점, 제주특별자치도 제주시 일주동로 192, None, None
오늘해장국, 음식점, 제주특별자치도 제주시 진동로 5, None, None
오시리식당, 음식점, 제주특별자치도 제주시 일주동로 224, None, None
BBQ 제주화북점, 음식점, 제주특별자치도 제주시 일주동로 197, None, None
나는강정같은치킨입니다 화북삼화점, 음식점, 제주특별자치도 제주시 진남로6길 3, None, None
피굽남피자 화북점, 음식점, 제주특별자치도 제주시 진남로6길 11, None, None
코바코 제주삼화지구점, 음식점, 제주특별자치도 제주시 진남로2길 38, None, None
고기마을, 음식점, 제주특별자치도 제주시 진남로 21-1, None, None
떡보킹 삼화점, 음식점, 제주특별자치도 제주시 진서로 16, None, None
이백장돈가스 삼화점, 음식점, 제주특별자치도 제주시 진남로2길 38, None, None
서림칡냉면, 음식점, 제주특별자치도 제주시 진동로3길 34, None, None
공기, 음식점, 제주특별자치도 제주시 진남로6길 22-4, None, None
일오삼가든, 음식점, 제주특별자치도 제주시 진남로8길 13, None, None
인다통닭, 음식점, 제주특별자치도 제주시 진동로5길 31, None, None
페리카나 화북점, 음식점, 제주특별자치도 제주시 진동로3길 34, None, None
낙지육회제주탕탕이, 음식점, 제주특별자치도 제주시 진남로6길 38-1, None, None
북촌손만두 제주화북삼화점, 음식점, 제주특별자치도 제주시 진남로6길 26, None, None
표선얼큰이, 음식점, 제주특별자치도 제주시 진남로6길 15, None, None
소망떡집, 음식점, 제주특별자치도 제주시 진동로5길 31, None, None
청풍국수, 음식점, 제주특별자치도 제주시 진남로6길 40, None, None
화북신안식당, 음식점, 제주특별자치도 제주시 진동로 21, None, None
바다품은각재기, 음식점, 제주특별자치도 제주시 진동로 27, None, None
고기마을, 음식점, 제주특별자치도 제주시 진동로 29, None, None
해찬식당, 음식점, 제주특별자치도 제주시 진북길 18, None, None
배떡 화북삼화점, 음식점, 제주특별자치도 제주시 진남로 51-1, None, None
대패가1900 삼화점, 음식점, 제주특별자치도 제주시 진남로8길 45, None, None
고랫물집, 음식점, 제주특별자치도 제주시 진동로 73, None, None
바삭돈까스 삼화점, 음식점, 제주특별자치도 제주시 화삼로 7, None, None
군족 삼화점, 음식점, 제주특별자치도 제주시 동화로 74, None, None
쿠웨이트떡볶이 삼화점, 음식점, 제주특별자치도 제주시 화삼로 7, None, None
자자손손멸치국수, 음식점, 제주특별자치도 제주시 동화로 74, None, None
돈삼겹삼화 2호점, 음식점, 제주특별자치도 제주시 화삼로1길 5, None, None
라곰, 음식점, 제주특별자치도 제주시 청풍남8길 54, None, None
삼화왕갈비, 음식점, 제주특별자치도 제주시 화삼로1길 15, None, None
땡초김밥싱싱왕만두 삼화점, 음식점, 제주특별자치도 제주시 화삼로 11, None, None
경성주막1929 삼화점, 음식점, 제주특별자치도 제주시 화삼로1길 15, None, None
치킨플러스 제주화북점, 음식점, 제주특별자치도 제주시 청풍남8길 54, None, None
돈김치찜, 음식점, 제주특별자치도 제주시 화삼로1길 5, None, None
제주두루치기 삼화점, 음식점, 제주특별자치도 제주시 청풍남8길 73, None, None
지윤밥상, 음식점, 제주특별자치도 제주시 화삼로 7, None, None
칭다오양꼬치 화북점, 음식점, 제주특별자치도 제주시 동화로 5, None, None
퀴즈노스서브 제주화북점, 음식점, 제주특별자치도 제주시 동화로 10, None, None
파리바게뜨 제주화북점, 음식점, 제주특별자치도 제주시 동화로 5, None, None
소림마라 제주점, 음식점, 제주특별자치도 제주시 동화로1길 9, None, None
본도시락 제주삼화점, 음식점, 제주특별자치도 제주시 동화로 7, None, None
돈낭, 음식점, 제주특별자치도 제주시 동화로 12-6, None, None
쭈찜 삼화점, 음식점, 제주특별자치도 제주시 동화로1길 9, None, None
제제황김밥, 음식점, 제주특별자치도 제주시 일주동로 240, None, None
해장쿡 제주점, 음식점, 제주특별자치도 제주시 동화로1길 9, None, None
이츠버거 삼화점, 음식점, 제주특별자치도 제주시 일주동로 260, None, None
동근이숯불두마리치킨 제주화북점, 음식점, 제주특별자치도 제주시 일주동로 264, None, None
오현고등학교, 학교, 제주특별자치도 제주시 일주동로 101, 0, 3.0
오현중학교, 학교, 제주특별자치도 제주시 일주동로 101, 1, 5.0
화북초등학교, 학교, 제주특별자치도 제주시 일주동로 157, 3, 0.0
화북초등학교 병설유치원, 어린이집/유치원, 제주특별자치도 제주시 일주동로 157, 0, 0.0
제주동중학교, 학교, 제주특별자치도 제주시 동화로 12-1, 0, 0.0
동화초등학교, 학교, 제주특별자치도 제주시 동화로1길 44, 2, 0.0
동화초등학교 병설유치원, 어린이집/유치원, 제주특별자치도 제주시 동화로1길 44, 0, 0.0
원명선원, 사찰, 제주특별자치도 제주시 원두길 34, 3, 5.0
보덕사, 사찰, 제주특별자치도 제주시 진남로 28, 0, 0.0
다온아트홀, 문화시설, 제주특별자치도 제주시 일주동로 87, None, None
제동해피죤아파트, 아파트, 제주특별자치도 제주시 거로길 8, 147, 0.0
벨루스타운아파트, 아파트, 제주특별자치도 제주시 거로동길 18, 24, 0.0
오션월드아파트, 아파트, 제주특별자치도 제주시 진동로 8, 120, 0.0
화북조양2차아파트, 아파트, 제주특별자치도 제주시 진동로1길 25, 15, 0.0
화북조양1차아파트, 아파트, 제주특별자치도 제주시 진남로8길 5, 16, 0.0
남양아파트, 아파트, 제주특별자치도 제주시 진남로8길 12, 25, 0.0
덕진웰리브아파트, 아파트, 제주특별자치도 제주시 진동로1길 24, 18, 0.0
성원아파트, 아파트, 제주특별자치도 제주시 일주동로 195-1, 11, 0.0
덕진9차아파트, 아파트, 제주특별자치도 제주시 진동로1길 26, 16, 0.0
대주아파트, 아파트, 제주특별자치도 제주시 진남로2길 11, 16, 0.0
동아아파트, 아파트, 제주특별자치도 제주시 진남로4길 30-3, 29, 0.0
뜨레향아파트, 아파트, 제주특별자치도 제주시 진서로 55, 16, 0.0
화북아파트, 아파트, 제주특별자치도 제주시 진동로5길 37, 52, 0.0
비둘기아파트, 아파트, 제주특별자치도 제주시 진남로 21-7, 28, 0.0
화북시장아파트, 아파트, 제주특별자치도 제주시 진동로5길 31, 86, 0.0
대림아파트, 아파트, 제주특별자치도 제주시 진서로6길 3, 19, 0.0
정우빌리지아파트, 아파트, 제주특별자치도 제주시 진남로6길 22-1, 19, 0.0
SJ해피드림아파트, 아파트, 제주특별자치도 제주시 진동로 44, 14, 0.0
보림아파트, 아파트, 제주특별자치도 제주시 진남로8길 20, 25, 0.0
삼부아파트, 아파트, 제주특별자치도 제주시 진남로2길 38, 30, 0.0
제주삼화휴먼시아1단지아파트, 아파트, 제주특별자치도 제주시 화삼북로2길 12, 1364, 0.0
화북주공4단지아파트, 아파트, 제주특별자치도 제주시 동화로1길 10, 844, 0.0
화북주공1단지아파트, 아파트, 제주특별자치도 제주시 동화로1길 11, 392, 0.0
화북주공아파트 1단지, 아파트, 제주특별자치도 제주시 동화로1길 11, 392, 0.0
대혜주상복합아파트, 아파트, 제주특별자치도 제주시 일주동로 84, None, 0.0
