커피초아, 카페, 제주특별자치도 제주시 동화로1길 57, 2, 3.7
베이킹카페, 카페, 제주특별자치도 제주시 화삼로 9, 0, 5.0
쥬씨 삼화점, 카페, 제주특별자치도 제주시 건주로4길 34, 0, 3.8
청자다방 제주삼화점, 카페, 제주특별자치도 제주시 건주로4길 6-1, 0, 0.0
프레페레, 카페, 제주특별자치도 제주시 청풍남8길 25-4, 0, 0.0
폴업커피, 카페, 제주특별자치도 제주시 청풍남8길 25-4, 0, 0.0
12월, 카페, 제주특별자치도 제주시 삼봉로 134, 7, 5.0
스타벅스 제주삼화DT점, 카페, 제주특별자치도 제주시 연삼로 884, 39, 4.4
에이바우트커피 도련점, 카페, 제주특별자치도 제주시 건주로3길 11, 1, 5.0
이디야커피 제주삼화점, 카페, 제주특별자치도 제주시 건주로 66, 1, 4.7
허브로틴오케이, 카페, 제주특별자치도 제주시 화삼북로 143, 1, 4.0
에이바우트커피 삼화점, 카페, 제주특별자치도 제주시 동화로 56, None, None
픽스커피 화북공단점, 카페, 제주특별자치도 제주시 청풍남8길 55, None, None
파스쿠찌 제주삼화지구점, 카페, 제주특별자치도 제주시 건주로4길 10-4, None, None
똥그리커피&디저트, 카페, 제주특별자치도 제주시 지석4길 17, None, None
설빙 제주삼화점, 카페, 제주특별자치도 제주시 화삼북로2길 19, None, None
컴포즈커피 제주삼화점, 카페, 제주특별자치도 제주시 화삼로 21, None, None
메가MGC커피 제주삼화초점, 카페, 제주특별자치도 제주시 화삼로 19, None, None
아꼽지, 카페, 제주특별자치도 제주시 건주로4길 10-1, None, None
림벅 삼화점, 카페, 제주특별자치도 제주시 건주로2길 27-6, None, None
수상한집, 카페, 제주특별자치도 제주시 도련3길 14-4, None, None
방방파티 제주삼화점, 카페, 제주특별자치도 제주시 지석8길 13-22, None, None
빽다방 제주삼화부영점, 카페, 제주특별자치도 제주시 화삼북로 135, None, None
모들카페, 카페, 제주특별자치도 제주시 지석12길 14, None, None
리틀비틀 제주삼화점, 카페, 제주특별자치도 제주시 건주로 31, None, None
공차 제주삼화점, 카페, 제주특별자치도 제주시 건주로 37, None, None
메가MGC커피 제주삼화지구점, 카페, 제주특별자치도 제주시 건주로 33, None, None
블럭파티키즈 제주점, 카페, 제주특별자치도 제주시 건주로 33, None, None
설심당 삼화왓, 카페, 제주특별자치도 제주시 건주로4길 6-8, None, None
수제홍과일모찌 삼화점, 카페, 제주특별자치도 제주시 화삼로 89, None, None
달리는커피 삼화점, 카페, 제주특별자치도 제주시 화삼북로 90, None, None
카페봄봄 제주삼양점, 카페, 제주특별자치도 제주시 화삼로 167, None, None
더벤티 제주삼화점, 카페, 제주특별자치도 제주시 건주로4길 6-8, None, None
메이83, 카페, 제주특별자치도 제주시 지석8길 13-22, None, None
싱싱프루츠 삼화점, 카페, 제주특별자치도 제주시 화삼북로 143, None, None
벌크커피 제주삼화점, 카페, 제주특별자치도 제주시 건주로4길 6-8, None, None
제주동안교회, 교회, 제주특별자치도 제주시 동화로1길 49-24, 0, 5.0
임마누엘교회, 교회, 제주특별자치도 제주시 화삼로 36, 0, 0.0
선인교회, 교회, 제주특별자치도 제주시 삼봉로 114, 0, 0.0
벧엘교회, 교회, 제주특별자치도 제주시 도련일동 2002, 0, 0.0
평화교회, 교회, 제주특별자치도 제주시 화삼북로 136, 0, 0.0
제주예스교회, 교회, 제주특별자치도 제주시 건주로 73, None, None
수상한집 광보네게스트하우스, 게스트하우스, 제주특별자치도 제주시 도련3길 14-4, 0, 0.0
더맑은이비인후과의원, 병원, 제주특별자치도 제주시 동화로 28, 0, 4.0
작은성모의원, 병원, 제주특별자치도 제주시 화삼북로 63, 0, 5.0
꿀의원, 병원, 제주특별자치도 제주시 동화로 28, 0, 3.0
연세수목화치과, 병원, 제주특별자치도 제주시 화삼북로 36, 0, 5.0
삼화치과의원, 병원, 제주특별자치도 제주시 건주로 43, 0, 4.0
굿모닝마취통증의학과의원, 병원, 제주특별자치도 제주시 건주로 31, 0, 2.0
튼튼한의원, 병원, 제주특별자치도 제주시 건주로 33, 0, 5.0
아이세상소아청소년과의원, 병원, 제주특별자치도 제주시 화삼로1길 14, None, None
제주아이치과의원, 병원, 제주특별자치도 제주시 동화로 50, None, None
명인플러스의원, 병원, 제주특별자치도 제주시 동화로 30, None, None
누가제통마취통증의학과의원, 병원, 제주특별자치도 제주시 청풍남8길 73, None, None
이치과의원, 병원, 제주특별자치도 제주시 동화로 28, None, None
김원플란트치과의원, 병원, 제주특별자치도 제주시 화삼로 11, None, None
드림치과의원, 병원, 제주특별자치도 제주시 화삼로 19, None, None
삼화상쾌한의원, 병원, 제주특별자치도 제주시 화삼북로 68, None, None
제주현대안과의원, 병원, 제주특별자치도 제주시 건주로 31, None, None
배정형외과내과의원, 병원, 제주특별자치도 제주시 건주로 27, None, None
강주현피부과의원, 병원, 제주특별자치도 제주시 건주로 27, None, None
삼화365플러스의원, 병원, 제주특별자치도 제주시 건주로 43, None, None
삼화내과의원, 병원, 제주특별자치도 제주시 건주로 33, None, None
오나정산부인과의원, 병원, 제주특별자치도 제주시 건주로 31, None, None
정민구소아청소년과의원, 병원, 제주특별자치도 제주시 건주로4길 6-8, None, None
심창은 소아청소년과의원, 병원, 제주특별자치도 제주시 화삼북로 139, None, None
로즈마리의원, 병원, 제주특별자치도 제주시 건주로4길 6-8, None, None
류정신건강의학과의원, 병원, 제주특별자치도 제주시 건주로 22, None, None
더사랑치과의원, 병원, 제주특별자치도 제주시 건주로4길 6-8, None, None
반딧불의원, 병원, 제주특별자치도 제주시 건주로6길 62, None, None
서울휴치과의원, 병원, 제주특별자치도 제주시 화삼북로 68, None, None
서울미소치과의원, 병원, 제주특별자치도 제주시 건주로 27, None, None
닥터강치과, 병원, 제주특별자치도 제주시 건주로 33, None, None
삼화 수한의원, 병원, 제주특별자치도 제주시 건주로 27, None, None
동화새마을작은도서관, 도서관, 제주특별자치도 제주시 동화로1길 35, 0, 0.0
삼화2차부영새마을작은도서관, 도서관, 제주특별자치도 제주시 화삼로 12, 0, 0.0
삼화LH3새마을작은도서관, 도서관, 제주특별자치도 제주시 화삼로 110, 0, 0.0
도련2동새마을문고, 도서관, 제주특별자치도 제주시 매촌서2길 21-3, 0, 0.0
삼화LH2새마을작은도서관, 도서관, 제주특별자치도 제주시 화삼로 32, None, None
열린새마을작은도서관, 도서관, 제주특별자치도 제주시 동화로1길 10, None, None
도련LH새마을작은도서관, 도서관, 제주특별자치도 제주시 도련2길 14, None, None
도련1동새마을작은도서관, 도서관, 제주특별자치도 제주시 도련안길 44, None, None
꿈꾸는새마을작은도서관, 도서관, 제주특별자치도 제주시 화삼북로 87, None, None
도련들 편백나무집, 펜션, 제주특별자치도 제주시 도련남길 68, 0, 0.0
G2하우스, 숙박, 제주특별자치도 제주시 삼봉로2길 28, 0, 5.0
꼬신김밥, 음식점, 제주특별자치도 제주시 화삼로 7, 16, 4.3
조마루 삼화지구점, 음식점, 제주특별자치도 제주시 동화로 66, 4, 4.0
삼화올레국수, 음식점, 제주특별자치도 제주시 화삼로 9, 11, 5.0
한솥도시락 제주화북점, 음식점, 제주특별자치도 제주시 화삼로 9, 8, 3.9
얼큰시원콩나물국밥, 음식점, 제주특별자치도 제주시 동화로 74, 1, 5.0
60계 제주삼화지구점, 음식점, 제주특별자치도 제주시 화삼로 11, 9, 4.1
남다른대구막창 삼화점, 음식점, 제주특별자치도 제주시 화삼로 11, 4, 3.8
명품갈비하우스, 음식점, 제주특별자치도 제주시 동화로 72-2, 5, 2.0
화북떡집, 음식점, 제주특별자치도 제주시 화삼로1길 5, 0, 0.0
오박이뷔페, 음식점, 제주특별자치도 제주시 동화로 62, 1, 5.0
불돈탄, 음식점, 제주특별자치도 제주시 청풍남8길 73, 0, 0.0
삼춘네정육식당, 음식점, 제주특별자치도 제주시 화삼로1길 15, 0, 0.0
삼화돈사촌, 음식점, 제주특별자치도 제주시 청풍남8길 73, 0, 0.0
명륜진사갈비 제주삼화점, 음식점, 제주특별자치도 제주시 화삼로1길 18, 13, 4.2
삼화수산, 음식점, 제주특별자치도 제주시 건주로6길 52, 10, 3.1
춘천명동닭갈비 삼화점, 음식점, 제주특별자치도 제주시 화삼로1길 16, 2, 5.0
교촌치킨 삼양화북점, 음식점, 제주특별자치도 제주시 화삼북로2길 32, 18, 2.3
가장맛있는족발 제주삼화점, 음식점, 제주특별자치도 제주시 화삼로 23, 6, 2.7
뚜레쥬르 제주삼화점, 음식점, 제주특별자치도 제주시 화삼로 23, 6, 2.8
서가국수, 음식점, 제주특별자치도 제주시 화삼북로2길 32, 5, 4.6
불타는여고24시떡볶이 삼화점, 음식점, 제주특별자치도 제주시 화삼로1길 18, 2, 4.5
삼화회센터, 음식점, 제주특별자치도 제주시 화삼로1길 18, 1, 5.0
못난이꽈배기 제주삼화점, 음식점, 제주특별자치도 제주시 화삼로 21, 3, 5.0
한조에프엠, 음식점, 제주특별자치도 제주시 화삼로 32, 0, 0.0
보말과비바리, 음식점, 제주특별자치도 제주시 화삼북로 7, 47, 4.0
김명자굴국밥 화북점, 음식점, 제주특별자치도 제주시 동화로 32, 0, 0.0
메종드베니, 음식점, 제주특별자치도 제주시 동화로 28, 6, 4.3
삼화옛날통닭, 음식점, 제주특별자치도 제주시 화삼북로 7, 2, 5.0
한짓골, 음식점, 제주특별자치도 제주시 동화로 30, 0, 0.0
탑해장국 삼화점, 음식점, 제주특별자치도 제주시 화삼북로4길 4-2, 20, 3.9
제주돈&삼겹 삼화점, 음식점, 제주특별자치도 제주시 화삼북로4길 4-4, 3, 4.3
구도로통닭 제주삼화점, 음식점, 제주특별자치도 제주시 화삼북로2길 13, 0, 0.0
대왕가마솥 화북점, 음식점, 제주특별자치도 제주시 화삼북로2길 12, 12, 4.8
김준호의대단한갈비 제주삼화점, 음식점, 제주특별자치도 제주시 화삼북로4길 4-2, 0, 0.0
식사준비 제주삼화점, 음식점, 제주특별자치도 제주시 화삼북로2길 19, 3, 4.3
바른찌개 제주삼화점, 음식점, 제주특별자치도 제주시 화삼북로2길 13, 1, 1.0
황금손가락 삼화점, 음식점, 제주특별자치도 제주시 건주로4길 14-8, 7, 4.0
오사부양꼬치마라탕, 음식점, 제주특별자치도 제주시 화삼북로 66, 3, 3.7
에그드랍 삼화지구점, 음식점, 제주특별자치도 제주시 건주로4길 6-1, 9, 4.0
역전할머니맥주 제주삼화점, 음식점, 제주특별자치도 제주시 화삼북로 66, 2, 5.0
얼얼이불막창, 음식점, 제주특별자치도 제주시 건주로4길 26, 4, 4.0
삼화포크, 음식점, 제주특별자치도 제주시 건주로4길 12, 5, 4.0
삼화가츠우동, 음식점, 제주특별자치도 제주시 건주로4길 34, 5, 3.8
한끼국밥 삼화점, 음식점, 제주특별자치도 제주시 건주로4길 20-1, 5, 4.2
두찜 제주삼화지구점, 음식점, 제주특별자치도 제주시 건주로4길 20-1, 3, 4.3
무한사케무사 제주삼화점, 음식점, 제주특별자치도 제주시 건주로4길 34, 1, 2.0
쪽갈비야사랑한닭 제주삼화점, 음식점, 제주특별자치도 제주시 건주로4길 34, 0, 0.0
돈까스퐁당떡볶이공수간 삼화점, 음식점, 제주특별자치도 제주시 건주로4길 14, 0, 0.0
종로빈대떡, 음식점, 제주특별자치도 제주시 건주로4길 10-5, 0, 0.0
소문난돈갈비, 음식점, 제주특별자치도 제주시 건주로4길 14-1, 0, 0.0
국대포차 제주1호삼화점, 음식점, 제주특별자치도 제주시 동화로1길 53-12, 1, 5.0
배터지는생동까스 화북점, 음식점, 제주특별자치도 제주시 동화로1길 45-8, 3, 4.7
푸드드림, 음식점, 제주특별자치도 제주시 동화로1길 37, 2, 5.0
청정바당수산, 음식점, 제주특별자치도 제주시 동화로1길 37, 0, 0.0
까투리 화북주공점, 음식점, 제주특별자치도 제주시 동화로1길 45-12, 0, 0.0
동화면사무소, 음식점, 제주특별자치도 제주시 동화로1길 49-1, 1, 1.0
암사동벼락국물떡볶이 삼화점, 음식점, 제주특별자치도 제주시 동화로1길 49-12, 0, 0.0
동화로 연탄구이, 음식점, 제주특별자치도 제주시 동화로1길 53-20, 9, 4.7
동화흑돼지, 음식점, 제주특별자치도 제주시 동화로1길 49-13, 2, 5.0
흥부찜닭 삼화점, 음식점, 제주특별자치도 제주시 동화로1길 45-18, 0, 0.0
삼겹본능 삼화점, 음식점, 제주특별자치도 제주시 동화로1길 45-18, 0, 0.0
수원왕갈비, 음식점, 제주특별자치도 제주시 지석4길 6, 2, 3.5
남가네설악추어탕 도련점, 음식점, 제주특별자치도 제주시 삼봉로 134, 5, 4.6
삼형제민재민형민준이네, 음식점, 제주특별자치도 제주시 삼봉로 144, 5, 3.8
외도다해네 삼화점, 음식점, 제주특별자치도 제주시 건주로 66, 4, 4.0
티바두마리치킨 삼화점, 음식점, 제주특별자치도 제주시 건주로 66, 2, 5.0
청년피자 화북삼화점, 음식점, 제주특별자치도 제주시 삼봉로 87, 5, 3.6
오늘도플라워케이크, 음식점, 제주특별자치도 제주시 삼봉로 85, 0, 0.0
숨비둠비, 음식점, 제주특별자치도 제주시 연삼로 976, 3, 4.0
제주아이스크림닷컴, 음식점, 제주특별자치도 제주시 도련3길 43-6, 0, 0.0
사계진미숯불닭갈비 삼화점, 음식점, 제주특별자치도 제주시 건주로 33, 6, 4.3
배스킨라빈스 제주삼화점, 음식점, 제주특별자치도 제주시 건주로 43, 17, 2.1
던킨 제주삼화점, 음식점, 제주특별자치도 제주시 건주로4길 6-4, 4, 5.0
자담치킨 제주삼화지구점, 음식점, 제주특별자치도 제주시 건주로6길 2, 8, 2.6
반주야, 음식점, 제주특별자치도 제주시 건주로3길 19, 0, 0.0
아임파인, 음식점, 제주특별자치도 제주시 지석8길 13-20, 40, 4.1
장가네일품순두부 삼화점, 음식점, 제주특별자치도 제주시 삼봉로2길 54, 25, 2.9
빵장수단팥빵카페 제주삼화점, 음식점, 제주특별자치도 제주시 화삼북로 67, 12, 4.5
한일관, 음식점, 제주특별자치도 제주시 삼봉로2길 66, 5, 3.0
제주인짬뽕 삼화점, 음식점, 제주특별자치도 제주시 지석12길 14, 29, 3.8
호야치킨앤닭강정, 음식점, 제주특별자치도 제주시 화삼북로 87, 6, 3.3
오풍미족발 삼화점, 음식점, 제주특별자치도 제주시 화삼북로 87, 6, 3.3
빅스타피자 제주삼화점, 음식점, 제주특별자치도 제주시 지석12길 14, 0, 0.0
감성키친 제주삼양점, 음식점, 제주특별자치도 제주시 지석12길 14, 0, 0.0
바우네나주곰탕 삼화점, 음식점, 제주특별자치도 제주시 삼봉로 53, 4, 3.3
즐겨찿기, 음식점, 제주특별자치도 제주시 매촌1길 18, 4, 3.0
멕시카나치킨 도련점, 음식점, 제주특별자치도 제주시 매촌1길 18, 1, 5.0
에이펙스피자앤꽈배기, 음식점, 제주특별자치도 제주시 화삼북로 143, 5, 3.8
꾸기앤고기, 음식점, 제주특별자치도 제주시 화삼북로 139, 1, 5.0
상구비어 삼화점, 음식점, 제주특별자치도 제주시 화삼로 166, 2, 1.5
철가방, 음식점, 제주특별자치도 제주시 지석8길 6, 9, 3.1
얼큰이해장국, 음식점, 제주특별자치도 제주시 지석6길 4, 0, 0.0
진양해장국, 음식점, 제주특별자치도 제주시 지석10길 13, 33, 4.1
삼사석생구이촌, 음식점, 제주특별자치도 제주시 삼봉로 137, 0, 0.0
바삭돈까스 삼화점, 음식점, 제주특별자치도 제주시 화삼로 7, None, None
군족 삼화점, 음식점, 제주특별자치도 제주시 동화로 74, None, None
